Area,Size,Year,Month,Price
Jeonbuk,> 102,2017,9,2138
Jeonbuk,> 102,2017,10,2138
Jeonnam,> 102,2016,10,2157
Kangwon,> 102,2015,10,2171
Kangwon,> 102,2015,11,2171
Kangwon,> 102,2015,12,2171
Kangwon,> 102,2016,1,2171
Jeonnam,> 102,2015,11,2176
Jeonnam,> 102,2015,12,2176
Jeonnam,> 102,2016,1,2176
Jeonnam,> 102,2016,2,2176
Jeonnam,> 102,2016,3,2176
Jeonnam,> 102,2016,4,2176
Jeonnam,> 102,2016,5,2176
Kangwon,> 102,2016,10,2191
Kangwon,> 102,2016,11,2191
Jeonnam,> 102,2017,6,2197
Jeonnam,> 102,2017,7,2197
Jeonnam,> 102,2017,8,2197
Jeonnam,> 102,2017,9,2197
Chungbuk,> 102,2016,11,2221
Kyungbuk,> 102,2015,10,2222
Chungbuk,> 102,2016,6,2243
Chungbuk,> 102,2016,7,2243
Chungbuk,> 102,2016,8,2243
Chungbuk,> 102,2016,9,2243
Kangwon,> 102,2017,1,2246
Chungbuk,> 102,2016,10,2247
Kangwon,> 102,2016,12,2247
Jeonbuk,> 102,2015,10,2250
Kangwon,> 102,2017,2,2251
Kangwon,> 102,2017,3,2251
Kangwon,> 102,2017,4,2251
Chungbuk,> 102,2015,12,2261
Chungbuk,> 102,2016,1,2261
Chungbuk,> 102,2016,2,2261
Chungbuk,> 102,2016,3,2261
Chungbuk,> 102,2016,4,2261
Jeonnam,> 102,2016,11,2262
Jeonnam,> 102,2016,6,2264
Jeonnam,> 102,2016,7,2264
Jeonnam,> 102,2016,8,2264
Jeonnam,> 102,2016,9,2264
Chungbuk,> 102,2016,5,2271
Chungbuk,> 102,2015,11,2277
Jeonbuk,> 102,2017,7,2281
Jeonbuk,> 102,2017,8,2281
Jeonbuk,> 102,2015,11,2282
Jeonbuk,> 102,2015,12,2282
Jeonbuk,> 102,2016,1,2282
Kangwon,> 102,2017,5,2282
Jeonbuk,> 102,2016,2,2283
Chungnam,> 102,2017,11,2283
Chungnam,> 102,2017,12,2283
Chungnam,> 102,2018,1,2283
Chungnam,> 102,2018,2,2283
Chungnam,> 102,2018,3,2283
Chungnam,> 102,2018,4,2283
Kangwon,> 102,2016,5,2289
Jeonnam,> 102,2015,10,2292
Jeonbuk,> 102,2016,3,2293
Jeonbuk,> 102,2017,2,2300
Jeonnam,> 102,2017,3,2307
Jeonnam,> 102,2017,4,2307
Jeonnam,> 102,2017,5,2307
Kangwon,> 102,2019,3,2311
Kyungbuk,> 102,2016,3,2314
Kyungbuk,> 102,2016,4,2314
Jeonbuk,> 102,2017,3,2315
Jeonbuk,> 102,2017,4,2315
Jeonnam,> 102,2016,12,2319
Jeonnam,> 102,2017,1,2319
Jeonnam,> 102,2017,2,2319
Kangwon,> 102,2017,9,2319
Kangwon,> 102,2019,1,2319
Kangwon,> 102,2019,2,2319
Jeonbuk,> 102,2016,11,2321
Jeonbuk,> 102,2016,12,2321
Jeonbuk,> 102,2017,1,2321
Jeonbuk,> 102,2016,5,2322
Jeonbuk,> 102,2016,6,2322
Kyungbuk,> 102,2016,5,2323
Jeonbuk,> 102,2016,7,2323
Jeonbuk,> 102,2016,8,2323
Jeonbuk,> 102,2016,9,2323
Jeonbuk,> 102,2016,10,2324
Chungbuk,> 102,2017,4,2333
Kangwon,> 102,2016,6,2339
Kangwon,> 102,2016,7,2339
Kyungbuk,> 102,2016,1,2346
Kyungbuk,> 102,2016,2,2346
Kangwon,> 102,2016,2,2350
Kangwon,> 102,2016,3,2350
Kangwon,> 102,2016,4,2350
Chungbuk,> 102,2017,2,2358
Chungbuk,> 102,2017,3,2358
Chungbuk,> 102,2016,12,2362
Chungbuk,> 102,2017,1,2362
Chungbuk,> 102,2015,10,2369
Kyungbuk,> 102,2015,11,2370
Kyungbuk,> 102,2015,12,2370
Jeonbuk,> 102,2017,5,2373
Jeonbuk,> 102,2017,6,2373
Jeonbuk,> 102,2016,4,2380
Kangwon,> 102,2016,9,2380
Kangwon,> 102,2018,12,2387
Kangwon,> 102,2017,10,2392
Jeonnam,> 102,2017,10,2395
Kangwon,> 102,2017,6,2400
Kangwon,> 102,2017,7,2401
Kangwon,> 102,2017,8,2401
Kangwon,> 102,2016,8,2402
Jeonnam,> 102,2018,2,2418
Jeonnam,> 102,2017,12,2423
Jeonbuk,> 102,2018,2,2428
Jeonbuk,> 102,2018,3,2428
Jeonbuk,> 102,2017,12,2433
Jeonbuk,> 102,2018,1,2433
Jeonbuk,> 102,2017,11,2441
Chungnam,> 102,2015,10,2442
Jeonnam,> 102,2018,3,2443
Chungnam,> 102,2015,12,2444
Chungnam,> 102,2016,1,2444
Chungnam,> 102,2016,2,2444
Chungnam,> 102,2016,3,2444
Gwangju,> 102,2018,4,2453
Gwangju,> 102,2018,5,2453
Gwangju,> 102,2018,6,2453
Gwangju,> 102,2018,7,2453
Gwangju,> 102,2018,8,2453
Jeonnam,> 102,2018,1,2458
Chungnam,> 102,2015,11,2468
Jeonnam,> 102,2018,4,2469
Jeonnam,> 102,2018,5,2469
Jeonnam,> 102,2018,6,2469
Jeonnam,> 102,2018,7,2469
Jeonnam,> 102,2018,8,2469
Chungbuk,> 102,2018,3,2482
Chungbuk,> 102,2018,2,2485
Jeonnam,> 102,2017,11,2491
Kyungbuk,> 102,2016,11,2499
Kyungbuk,> 102,2016,12,2499
Chungbuk,> 102,2017,6,2500
Chungbuk,> 102,2017,7,2500
Chungbuk,> 102,2017,8,2500
Chungbuk,> 102,2017,9,2500
Chungbuk,> 102,2017,10,2500
Jeonnam,> 102,2018,11,2502
Chungbuk,> 102,2017,11,2504
Chungbuk,> 102,2017,12,2504
Chungbuk,> 102,2018,1,2504
Jeonnam,> 102,2018,9,2519
Jeonnam,> 102,2018,10,2519
Kyungbuk,> 102,2016,6,2526
Kyungbuk,> 102,2016,7,2526
Kangwon,> 102,2018,11,2528
Chungbuk,> 102,2019,7,2532
Chungbuk,> 102,2019,8,2532
Chungbuk,> 102,2019,9,2532
Chungbuk,> 102,2019,10,2532
Chungbuk,> 102,2019,11,2532
Chungbuk,> 102,2019,12,2532
Chungbuk,> 102,2020,1,2532
Chungbuk,> 102,2020,2,2532
Chungnam,> 102,2018,5,2537
Kyungbuk,> 102,2017,1,2540
Kyungbuk,> 102,2017,2,2540
Kyungbuk,> 102,2016,10,2544
Kyungbuk,> 102,2016,9,2550
Chungnam,> 102,2017,6,2560
Chungnam,> 102,2017,7,2560
Jeonbuk,> 102,2020,10,2562
Jeonbuk,> 102,2020,11,2562
Chungbuk,> 102,2017,5,2564
Jeju,> 102,2015,10,2574
Jeju,> 102,2015,11,2574
Jeju,> 102,2015,12,2574
Jeju,> 102,2016,1,2574
Jeju,> 102,2016,2,2574
Kangwon,> 102,2019,5,2574
Kangwon,> 102,2019,6,2574
Kyungbuk,> 102,2016,8,2576
Chungnam,> 102,2018,6,2580
Chungnam,> 102,2018,7,2580
Sejong,> 102,2016,8,2585
Sejong,> 102,2016,7,2589
Kangwon,> 102,2018,6,2592
Jeonbuk,> 102,2018,11,2593
Jeonbuk,> 102,2021,2,2597
Jeonbuk,> 102,2021,3,2597
Jeonbuk,> 102,2021,4,2597
Daegu,> 102,2015,10,2598
Jeju,> 102,2016,4,2602
Jeju,> 102,2016,5,2605
Jeju,> 102,2016,6,2605
Jeju,> 102,2016,7,2605
Jeju,> 102,2016,8,2605
Jeonbuk,> 102,2021,1,2605
Kyungbuk,> 102,2017,3,2606
Kyungbuk,> 102,2017,4,2606
Sejong,> 102,2016,6,2610
Kangwon,> 102,2018,4,2611
Jeonbuk,> 102,2020,12,2615
Kyungnam,> 102,2016,11,2621
Kyungnam,> 102,2016,12,2621
Kyungnam,> 102,2017,1,2623
Chungnam,> 102,2017,8,2623
Chungnam,> 102,2017,9,2623
Chungnam,> 102,2017,10,2623
Kyungbuk,> 102,2017,8,2624
Jeonbuk,> 102,2018,10,2627
Kangwon,> 102,2019,4,2628
Kangwon,> 102,2018,5,2631
Jeonnam,> 102,2018,12,2633
Jeonbuk,> 102,2019,4,2634
Jeonbuk,> 102,2019,5,2634
Jeonbuk,> 102,2019,6,2634
Chungnam,> 102,2016,4,2638
Chungnam,> 102,2016,5,2638
Sejong,> 102,2016,9,2638
Kyungnam,> 102,2016,10,2638
Kyungnam,> 102,2016,3,2645
Sejong,> 102,2016,10,2651
Jeonbuk,> 102,2018,12,2651
Jeonbuk,> 102,2019,1,2651
Gwangju,> 102,2018,9,2655
Kyungnam,> 102,2017,3,2657
Kyungnam,> 102,2017,4,2659
Kyungnam,> 102,2016,4,2660
Kyungnam,> 102,2017,5,2661
Jeonbuk,> 102,2021,5,2661
Jeonnam,> 102,2019,1,2664
Kangwon,> 102,2018,7,2665
Kangwon,> 102,2018,8,2665
Kangwon,> 102,2018,9,2665
Kangwon,> 102,2018,10,2665
Kyungbuk,> 102,2017,5,2667
Chungnam,> 102,2019,5,2667
Jeonbuk,> 102,2019,10,2667
Jeonbuk,> 102,2019,11,2667
Jeonbuk,> 102,2019,12,2667
Jeonbuk,> 102,2020,1,2667
Jeonbuk,> 102,2020,2,2667
Jeonbuk,> 102,2020,3,2667
Sejong,> 102,2016,11,2670
Kyungnam,> 102,2016,2,2673
Sejong,> 102,2016,12,2673
Sejong,> 102,2017,1,2673
Sejong,> 102,2017,2,2673
Sejong,> 102,2017,3,2673
Chungbuk,> 102,2019,5,2673
Chungbuk,> 102,2019,6,2673
Kyungbuk,> 102,2017,6,2674
Kyungbuk,> 102,2017,7,2674
Chungnam,> 102,2017,1,2679
Chungnam,> 102,2017,2,2679
Chungnam,> 102,2017,3,2679
Chungbuk,> 102,2018,4,2680
Chungbuk,> 102,2018,5,2683
Chungnam,> 102,2016,11,2685
Chungnam,> 102,2016,12,2685
Chungbuk,> 102,2018,11,2689
Chungbuk,> 102,2018,12,2689
Chungbuk,> 102,2019,1,2689
Chungbuk,> 102,2019,2,2689
Ulsan,> 102,2015,10,2690
Sejong,> 102,2015,10,2692
Chungbuk,> 102,2019,3,2696
Chungbuk,> 102,2019,4,2696
Jeonbuk,> 102,2019,7,2698
Jeonbuk,> 102,2019,8,2698
Jeonbuk,> 102,2019,9,2698
Kangwon,> 102,2017,12,2699
