date,potato,dried pepper,green onion,galic,radish,pear,napa cabbage,apple,onion
2023-01-01,1740,13490,1440,6260,450,2410,480,3050,1220
2023-02-01,1830,13570,1720,6200,490,1840,540,2210,1350
2023-03-01,2210,14280,1660,5920,490,1800,660,2450,1410
2023-04-01,2730,12220,1140,5420,590,1750,790,2730,1160
2023-05-01,2430,12190,1590,3360,640,1990,730,3160,1060
2023-06-01,1370,14780,1400,3500,490,2430,640,4200,960
2023-07-01,1220,22210,1550,4480,480,2280,610,3920,1050
2023-08-01,1380,22460,1680,4740,760,2730,1050,5010,1080
2023-09-01,1480,20750,1850,4870,580,3380,970,5730,1030
2023-10-01,1410,18820,2420,4930,470,2580,840,4910,1030
2023-11-01,1480,14870,2590,4690,390,3020,640,3720,1010
2023-12-01,1580,15360,2870,5120,430,3510,700,4070,1050
2024-01-01,1650,10650,2650,4830,420,4580,650,5260,1030
2024-02-01,1760,11450,2900,4800,520,5030,810,5950,1070
2024-03-01,1980,15460,2250,4560,540,5100,1120,5410,1280
2024-04-01,2240,17160,1710,520,560,5940,1380,5700,1330
2024-05-01,1790,15680,1590,3240,670,6530,890,5530,1070
2024-06-01,990,10970,1320,3480,630,7990,670,4850,760
2024-07-01,970,20360,1270,4480,710,8390,910,3590,840
2024-08-01,1120,19790,1510,4940,1000,3480,1410,4150,930
2024-09-01,1150,20470,1880,5330,910,3750,1860,4690,990
